easting,northing,yaw,state_x,state_y,state_yaw
166021.445673,0,-0.0409543535631,310217.85517,2768165.66648,-0.0409543535631
166021.445673,0,-0.0409543535631,310217.85517,2768165.66648,-0.0409543535631
166021.445673,0,-0.0409543535631,310217.85517,2768165.66648,-0.0409543535631
166021.445673,0,-0.0409543535631,310217.85517,2768165.66648,-0.0409543535631
166021.445673,0,-0.0409543535631,310217.85517,2768165.66648,-0.0409543535631
166021.445673,0,-0.0409543535631,310217.85517,2768165.66648,-0.0409543535631
166021.445673,0,-0.0409543535631,310217.85517,2768165.66648,-0.0409543535631
166021.445673,0,-0.0409543535631,310217.85517,2768165.66648,-0.0409543535631
166021.445673,0,-0.0409543535631,310217.85517,2768165.66648,-0.0409543535631
166021.445673,0,-0.0409543535631,310217.85517,2768165.66648,-0.0409543535631
166021.445673,0,-0.0409543535631,310217.85517,2768165.66648,-0.0409543535631
166021.445673,0,-0.0409543535631,310217.85517,2768165.66648,-0.0409543535631
166021.445673,0,-0.0409543535631,310217.85517,2768165.66648,-0.0409543535631
166021.445673,0,-0.0409543535631,310217.85517,2768165.66648,-0.0409543535631
166021.445673,0,-0.0409543535631,310217.85517,2768165.66648,-0.0409543535631
166021.445673,0,-0.0409543535631,310217.85517,2768165.66648,-0.0409543535631
166021.445673,0,-0.0409543535631,310217.85517,2768165.66648,-0.0409543535631
166021.445673,0,-0.0409543535631,310217.85517,2768165.66648,-0.0409543535631
166021.445673,0,-0.0409543535631,310217.85517,2768165.66648,-0.0409543535631
166021.445673,0,-0.0409543535631,310217.85517,2768165.66648,-0.0409543535631
166021.445673,0,-0.0409543535631,310217.85517,2768165.66648,-0.0409543535631
166021.445673,0,-0.0409543535631,310217.85517,2768165.66648,-0.0409543535631
166021.445673,0,-0.0409543535631,310217.85517,2768165.66648,-0.0409543535631
166021.445673,0,-0.0409543535631,310217.85517,2768165.66648,-0.0409543535631
166021.445673,0,-0.0409543535631,310217.85517,2768165.66648,-0.0409543535631
310217.85517,2768165.66648,-0.0409543535631,310217.85517,2768165.66648,-0.0409543535631
310217.85517,2768165.66648,-0.0409543535631,310217.85517,2768165.66648,-0.0409543535631
310217.85517,2768165.66648,-0.0409543535631,310217.85517,2768165.66648,-0.0409543535631
310217.85517,2768165.66648,-0.0409543535631,310217.85517,2768165.66648,-0.0409543535631
310217.85517,2768165.66648,-0.0409543535631,310217.85517,2768165.66648,-0.0409543535631
310217.85517,2768165.66648,-0.0409543535631,310217.855176,2768165.66648,-0.0409543535631
310217.85517,2768165.66648,-0.0409543535631,310217.855341,2768165.66647,-0.0409543535631
310217.85517,2768165.66648,-0.0409543535631,310217.855327,2768165.66648,-0.0409543535631
310217.85517,2768165.66648,-0.0409543535631,310217.855311,2768165.66648,-0.0409543535631
310217.85517,2768165.66648,-0.0409543535631,310217.85578,2768165.66646,-0.0409543535631
